melody,note,pitch,mean_response,ic_transformer,ic_idyom
hymn_007_b,26,71,4.447368421052632,4.4529014,4.4845533
hymn_022_b,22,75,3.325,9.516538,10.510658
hymn_025_b,9,75,3.725,6.512976,8.919492
hymn_039_b,21,64,4.375,6.087044,5.9990907
hymn_047_b,10,71,3.775,10.45344,11.775452
hymn_054_b,22,76,3.0,6.04877,7.114
hymn_073_b,9,75,3.8684210526315788,4.2861514,8.237999
hymn_081_b,58,74,3.575,4.2799973,5.451141
hymn_119_b,17,66,4.333333333333333,3.409446,4.2750416
hymn_124a_b,9,72,4.842105263157895,5.720716,5.2321153
hymn_127_b,46,61,4.225,3.7546306,2.9797144
hymn_161_b,13,65,4.923076923076923,4.134661,3.4497614
hymn_163_b,9,74,3.769230769230769,4.9023657,5.369222
hymn_190_b,41,72,3.625,8.143571,4.5071807
hymn_213_b,21,68,4.825,3.0179892,2.9141357
hymn_233_b,18,75,3.275,6.986084,5.561362
hymn_267_b,53,68,3.9,7.059424,7.3611126
hymn_273_b,9,64,4.128205128205129,7.7383456,10.052733
hymn_291_b,14,71,5.076923076923077,5.4667697,4.4523
hymn_295_b,11,71,4.358974358974359,2.8350563,3.352254
hymn_311_b,21,74,3.075,5.865838,5.833137
hymn_388b_b,9,72,4.275,5.3251367,7.038589
hymn_444_b,10,74,4.575,4.4106655,3.499342
hymn_526_b,35,77,4.25,4.61125,5.2363048
hymn_542_b,12,72,4.743589743589744,4.610928,4.3825006
hymn_565_b,9,74,3.3076923076923075,8.270078,7.462042
