melody,note,pitch,mean_response,ic_transformer,ic_idyom
hymn_007_b,26,71,4.447368421052632,6.2314506,4.178208
hymn_022_b,22,75,3.325,9.456543,11.540969
hymn_025_b,9,75,3.725,6.8012834,5.827035
hymn_039_b,21,64,4.375,5.3144794,6.1629295
hymn_047_b,10,71,3.775,8.408573,3.8433022
hymn_054_b,22,76,3.0,7.3923454,6.5041375
hymn_073_b,9,75,3.8684210526315788,5.3835106,7.299116
hymn_081_b,58,74,3.575,4.657361,4.80782
hymn_119_b,17,66,4.333333333333333,2.8423226,4.1842327
hymn_124a_b,9,72,4.842105263157895,5.3553524,4.336001
hymn_127_b,46,61,4.225,5.3684545,4.296366
hymn_161_b,13,65,4.923076923076923,3.946368,5.233498
hymn_163_b,9,74,3.769230769230769,7.2671876,6.6673527
hymn_190_b,41,72,3.625,6.8701982,5.7822533
hymn_213_b,21,68,4.825,4.2169085,4.362418
hymn_233_b,18,75,3.275,8.183528,12.689964
hymn_267_b,53,68,3.9,7.947668,7.773262
hymn_273_b,9,64,4.128205128205129,9.577004,8.133583
hymn_291_b,14,71,5.076923076923077,7.4887867,3.3087158
hymn_295_b,11,71,4.358974358974359,1.8608102,3.0545385
hymn_311_b,21,74,3.075,6.378894,3.485705
hymn_388b_b,9,72,4.275,5.3016586,3.8960488
hymn_444_b,10,74,4.575,4.3110723,4.084107
hymn_526_b,35,77,4.25,4.308305,4.2590413
hymn_542_b,12,72,4.743589743589744,3.7523427,3.901015
hymn_565_b,9,74,3.3076923076923075,7.519163,6.2742877
